loop time,Output Velocity D1,Futek Torque,V_BUS D1,I_Bus D1,V_q D1,I_q D1,V_d D1,I_d D1,Output Velocity D2,V_BUS D2,I_Bus D2,V_q D2,I_q D2,V_d D2,I_d D2,max_velocity,max_current
0.005000114440917969,0.9203702922183431,-9.942833431196014,23.9,2.47,2.416,15.97,-0.215,0.0,-0.8214683012719978,24.7,0.65,0.987,10.16,0.15,-0.04,1,11
0.010000228881835938,0.9203702922183431,-9.917832668233277,23.9,2.47,2.416,15.97,-0.215,0.0,-0.8214683012719978,24.7,0.65,0.987,10.16,0.15,-0.04,1,11
0.015000343322753906,0.9378235847382864,-9.772828243049396,23.9,2.83,2.536,17.35,-0.21,-0.05,-0.8214683012719978,24.7,0.65,0.987,10.16,0.15,-0.04,1,11
0.020000457763671875,0.9378235847382864,-9.522820613422027,23.9,2.83,2.536,17.35,-0.21,-0.05,-0.9529497715889039,24.7,0.74,1.028,11.09,0.12,0.0,1,11
0.025000572204589844,0.9378235847382864,-9.287813441572297,23.9,2.83,2.536,17.35,-0.21,-0.05,-1.012290966156711,24.7,0.71,0.994,11.05,0.141,0.07,1,11
0.030000686645507812,0.9797114867861503,-9.532820918607126,23.9,2.52,2.443,16.07,-0.247,0.01,-1.0314895879286488,24.7,0.71,1.008,10.93,0.184,-0.08,1,11
0.03500080108642578,0.9797114867861503,-9.882831600085442,23.9,2.52,2.443,16.07,-0.247,0.01,-1.0024007670620765,24.6,0.73,1.048,10.93,0.16,0.1,1,11
0.04000091552734375,0.9616764178488756,-9.547821376384764,23.9,2.77,2.515,17.14,-0.254,0.18,-1.0024007670620765,24.6,0.73,1.048,10.93,0.16,0.1,1,11
0.04500102996826172,0.9872745802114591,-9.532820918607126,23.9,2.76,2.504,17.08,-0.263,0.15,-0.972730169778173,24.7,0.75,1.046,11.09,0.164,-0.12,1,11
0.05000114440917969,1.0215993888340142,-9.202810847499006,24.0,2.43,2.393,15.75,-0.291,0.03,-0.972730169778173,24.7,0.75,1.046,11.09,0.164,-0.12,1,11
0.055001258850097656,1.0215993888340142,-9.242812068239381,24.0,2.43,2.393,15.75,-0.291,0.03,-1.063487290881878,24.7,0.7,0.998,10.93,0.238,-0.06,1,11
0.060001373291015625,0.9855292509594648,-9.482819392681652,23.8,2.56,2.452,16.28,-0.235,-0.08,-1.063487290881878,24.7,0.7,0.998,10.93,0.238,-0.06,1,11
0.0650014877319336,0.9907652387154477,-9.462818782311455,23.9,2.57,2.435,16.34,-0.267,0.18,-1.063487290881878,24.7,0.7,0.998,10.93,0.238,-0.06,1,11
0.07000160217285156,0.9942558972194364,-9.247812220831921,23.9,2.58,2.454,16.4,-0.236,-0.07,-0.9849474745421333,24.7,0.75,1.059,11.05,0.216,-0.19,1,11
0.07500171661376953,0.9942558972194364,-9.052806269722566,23.9,2.58,2.454,16.4,-0.236,-0.07,-1.0006554378100823,24.7,0.75,1.028,11.13,0.21,0.1,1,11
0.0800018310546875,1.018690506747357,-8.817799097872854,23.9,2.35,2.372,15.42,-0.264,-0.06,-1.0338166935979745,24.7,0.72,1.001,11.09,0.228,0.1,1,11
0.08500194549560547,1.0303260350939858,-9.007804896389668,24.0,2.25,2.334,14.95,-0.271,0.02,-1.0338166935979745,24.7,0.72,1.001,11.09,0.228,0.1,1,11
0.09000205993652344,1.0053096491487339,-9.457818629718933,23.9,2.35,2.387,15.39,-0.248,0.06,-1.0326531407633117,24.7,0.72,1.035,10.87,0.269,-0.03,1,11
0.0950021743774414,1.0053096491487339,-9.557821681569862,23.9,2.35,2.387,15.39,-0.248,0.06,-1.0326531407633117,24.7,0.72,1.035,10.87,0.269,-0.03,1,11
