timestamp (epoch),loop time (s),des velocity,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682008713.5559475,1682008713,0.0,0.0005817764173314432,0.016540504776134668,24.5,0.0,-0.006,0.0,-0.004,0.0,0.0028706330238400415,0.01279908118129175,25.2,0.0,0.009,0.0,-0.003,0.0,0.6216215539024631
1682008713.5637903,1682008713,0.0,0.0,0.03654111514633129,24.5,0.0,-0.003,0.0,0.0,0.0,0.0,0.0040724349213201025,25.2,0.0,0.01,0.0,0.001,0.0,0.007787502487123853
1682008713.5715554,1682008713,0.0,0.0023271056693257726,0.031540962553773255,24.5,0.0,-0.025,0.09,-0.015,-0.02,0.24948466675039657,0.0040724349213201025,25.2,0.0,0.01,0.0,0.001,0.0,0.007787502487123853
1682008713.577738,1682008713,0.0,0.0023271056693257726,0.016540504776134668,24.5,0.0,-0.025,0.09,-0.015,-0.02,0.24948466675039657,0.0040724349213201025,25.2,0.0,0.01,0.0,0.001,0.0,0.007787502487123853
1682008713.5848212,1682008713,0.0,0.0005817764173314432,-0.003460105594061957,24.5,0.0,-0.007,0.1,-0.003,-0.02,0.04450468099580407,-0.005817764173314432,25.3,0.0,0.01,0.0,0.0,0.0,-0.265938702027
1682008713.5923486,1682008713,0.0,0.0005817764173314432,0.001540046998496081,24.5,0.0,-0.007,0.1,-0.003,-0.02,0.04450468099580407,0.0017453292519943294,25.2,0.0,0.009,0.0,0.001,0.0,0.2510869992439315
1682008713.5990236,1682008713,0.0,-0.0005817764173314432,-0.013460410779160272,24.5,0.0,0.005,0.08,0.004,-0.02,-0.04391992574234491,0.0017453292519943294,25.2,0.0,0.009,0.0,0.001,0.0,0.2510869992439315
1682008713.6061237,1682008713,0.0,0.0,0.016540504776134668,24.4,0.0,0.01,0.08,0.006,-0.02,0.0,0.01279908118129175,25.2,0.0,0.011,0.0,0.0,0.0,0.900408201724505
1682008713.6122556,1682008713,0.0,0.0,0.026540809961215214,24.4,0.0,0.01,0.08,0.006,-0.02,0.0,0.013962634015954635,25.3,0.0,0.011,0.0,-0.001,0.0,2.004021890416952
1682008713.6189966,1682008713,0.0,-0.0034906585039886587,0.016540504776134668,24.4,0.0,-0.016,0.08,-0.009,-0.02,-0.2692081074912871,0.013962634015954635,25.3,0.0,0.011,0.0,-0.001,0.0,2.004021890416952
1682008713.6246164,1682008713,0.0,-0.0034906585039886587,0.006540199591036355,24.4,0.0,-0.016,0.08,-0.009,-0.02,-0.2692081074912871,0.013962634015954635,25.3,0.0,0.011,0.0,-0.001,0.0,2.004021890416952
