timestamp (epoch),loop time (s),des current,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682011370.4234793,1682011370,14.0,-0.0017453292519943294,-0.024830757774587656,24.5,0.0,-0.004,0.0,0.003,0.0,-0.008006336286264848,0.0,24.7,0.0,-0.011,0.0,-0.001,0.0,0.0
1682011370.430166,1682011370,14.0,0.0,-0.06483197851496314,24.5,0.0,-0.002,0.0,0.004,0.0,0.0,0.0,24.7,0.0,-0.011,0.0,-0.001,0.0,0.0
1682011370.4380035,1682011370,14.0,0.1564978562621582,0.2551777874080585,24.4,0.18,0.937,2.77,-0.015,0.22,25.647621791575634,0.0,24.7,0.0,-0.011,0.0,-0.001,0.0,0.0
1682011370.4444156,1682011370,14.0,0.1564978562621582,13.835592228766735,24.4,0.18,0.937,2.77,-0.015,0.22,25.647621791575634,3.7239508473385676,24.2,3.08,4.677,11.09,1.185,-0.97,29.823347783773208
1682011370.450037,1682011370,14.0,0.1564978562621582,22.225848279061236,24.4,0.18,0.937,2.77,-0.015,0.22,25.647621791575634,3.7239508473385676,24.2,3.08,4.677,11.09,1.185,-0.97,29.823347783773208
1682011370.457404,1682011370,14.0,3.7908551353316837,16.77068180059205,24.1,3.02,-1.676,-29.42,1.456,-1.0,189.9505275313863,3.7239508473385676,24.2,3.08,4.677,11.09,1.185,-0.97,29.823347783773208
1682011370.463152,1682011370,14.0,3.7908551353316837,13.065568729514432,24.1,3.02,-1.676,-29.42,1.456,-1.0,189.9505275313863,3.7239508473385676,24.2,3.08,4.677,11.09,1.185,-0.97,29.823347783773208
1682011370.470386,1682011370,14.0,3.7908551353316837,11.715527529526657,24.1,3.02,-1.676,-29.42,1.456,-1.0,189.9505275313863,3.9077921952153036,24.2,3.65,4.766,12.6,-0.03,-0.28,155.49253804724722
1682011370.4779727,1682011370,14.0,4.797910113732412,12.240543551744132,24.5,-0.33,0.385,-13.83,0.265,-1.82,230.85801975069762,4.8229264996776635,24.0,4.25,5.772,12.05,-0.052,0.15,638.2136518584057
1682011370.4857187,1682011370,14.0,4.797910113732412,14.370608556169326,24.5,-0.33,0.385,-13.83,0.265,-1.82,230.85801975069762,4.8229264996776635,24.0,4.25,5.772,12.05,-0.052,0.15,638.2136518584057
1682011370.492752,1682011370,14.0,6.540330483640084,14.415609929502224,24.5,-0.34,0.154,-18.77,0.078,-7.93,469.0777228305525,6.839363562148446,23.9,6.03,7.321,13.16,-0.394,0.22,474.924173805064
1682011370.4995658,1682011370,14.0,6.540330483640084,14.345607793206572,24.5,-0.34,0.154,-18.77,0.078,-7.93,469.0777228305525,6.839363562148446,23.9,6.03,7.321,13.16,-0.394,0.22,474.924173805064
1682011370.50725,1682011370,14.0,7.958119612676811,14.84562305246131,24.6,-0.86,0.505,-18.4,0.477,-10.75,520.9816436018792,6.839363562148446,23.9,6.03,7.321,13.16,-0.394,0.22,474.924173805064
1682011370.5148375,1682011370,14.0,7.958119612676811,15.140632055421612,24.6,-0.86,0.505,-18.4,0.477,-10.75,520.9816436018792,6.839363562148446,23.9,6.03,7.321,13.16,-0.394,0.22,474.924173805064
1682011370.521575,1682011370,14.0,9.156579032379584,11.230512728049558,24.7,-2.15,2.42,-16.01,0.823,2.2,633.5237382769592,6.839363562148446,23.9,6.03,7.321,13.16,-0.394,0.22,474.924173805064
1682011370.5285654,1682011370,14.0,9.156579032379584,12.485551028778943,24.7,-2.15,2.42,-16.01,0.823,2.2,633.5237382769592,10.241592050702726,23.6,7.47,10.05,11.9,-0.542,0.03,277.62134366076805
1682011370.5366526,1682011370,14.0,10.951941056264417,16.175663642078906,24.7,-2.81,2.258,-18.13,1.198,-2.19,720.312522424482,10.241592050702726,23.6,7.47,10.05,11.9,-0.542,0.03,277.62134366076805
1682011370.5430238,1682011370,14.0,10.951941056264417,18.610737954649483,24.7,-2.81,2.258,-18.13,1.198,-2.19,720.312522424482,10.241592050702726,23.6,7.47,10.05,11.9,-0.542,0.03,277.62134366076805
1682011370.5496855,1682011370,14.0,10.951941056264417,15.97065738578447,24.7,-2.81,2.258,-18.13,1.198,-2.19,720.312522424482,10.241592050702726,23.6,7.47,10.05,11.9,-0.542,0.03,277.62134366076805
